symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
TEZOL,2020/6,2021-11-04 21:44:21,,,0.0,,,,,0.0,47028439.0,0.0,0.0,0.0,0.0,0.0,0.0,47028439.0,11190098.0,11961833.0,16070126.0,771735.0,0.0
TEZOL,2020/9,2021-11-04 21:44:21,,,0.0,,,,,0.0,71871283.0,0.0,0.0,0.0,0.0,0.0,0.0,71871283.0,16823622.0,17936652.0,24593724.0,1113030.0,0.0
TEZOL,2020/12,2021-11-04 21:44:21,0.3005352815375293,0.20105822317758432,0.19998877034126514,0.4947674364012712,3.532317744336654,,,18371744.0,91863878.0,91375243.0,30245169.0,61130074.0,17401462.0,61467493.0,12843708.0,91863878.0,20952952.0,22429533.0,30868020.0,1476581.0,30245170.0
TEZOL,2021/3,2021-11-04 21:44:21,,,0.0,,,,,0.0,22112812.0,0.0,0.0,0.0,0.0,0.0,0.0,22112812.0,2530413.0,2924755.0,5883882.0,394342.0,0.0
TEZOL,2021/6,2021-11-04 21:44:21,0.1562874466748341,0.10242871184495798,0.21654156486436485,0.5258167740252344,3.295711353725758,-0.07995893718692215,,9369341.0,43268095.0,91471823.0,31522408.0,59949415.0,18758600.0,61822931.0,12763808.0,43268095.0,5959608.0,6713348.0,12571104.0,753740.0,31522408.0
TEZOL,2021/9,2021-11-04 21:44:21,0.21357390978468865,0.13076213343415682,0.17999921429928176,0.6333008966409253,3.6258615338216034,0.039148361940331576,,13443228.0,74684926.0,102806735.0,39862586.0,62944149.0,20255589.0,73443961.0,19606997.0,74684926.0,10799165.0,11904649.0,22501890.0,1105484.0,39862586.0
TEZOL,2021/12,2022-03-02 00:08:21,0.36718313353521465,0.20390917174900763,0.19413067251972158,0.8007190671500612,2.9019798040779845,0.07104728367770409,0.039674023326255796,19100625.0,98390557.0,93672221.0,41652879.0,52019342.0,25004949.0,72563857.0,16647930.0,98390557.0,13553387.0,14920043.0,27930693.0,1366656.0,41652879.0
TEZOL,2022/3,2022-05-09 21:12:40,0.12640372114488993,0.06668232239063755,0.2576260650278317,0.8956106396717873,2.4538281587923287,0.10155148969746589,,6275359.0,24358401.0,94108285.0,44462919.0,49645366.0,29301214.0,71900144.0,15161704.0,24358401.0,4240228.0,4476206.0,5817735.0,235978.0,44462918.0
TEZOL,2022/6,2022-08-18 19:56:36,0.2823943125670319,0.1493331250122906,0.2812805578159073,0.891035981091201,2.316370685044483,0.25103665876669634,0.6250565541375855,15225709.0,54129973.0,101958015.0,48041529.0,53916486.0,31581409.0,73154250.0,16460120.0,54129973.0,10976975.0,11417574.0,14319937.0,440599.0,48041529.0
TEZOL,2022/9,2022-11-07 20:59:01,0.41049072384375795,0.24778996644384294,0.2513730574600118,0.6566075282825794,2.7820542634361463,0.28106030392264164,0.7890302835003616,24050342.0,95675894.0,97059386.0,38470140.0,58589246.0,25392605.0,70643605.0,13077535.0,95675894.0,21041702.0,21676132.0,26530283.0,634430.0,38470140.0
TEZOL,2022/12,2023-03-09 20:43:28,0.22213017820129263,0.1625313998239559,0.1422975691189274,0.36669085142585156,3.1399824206180322,1.5982634898590928,0.9045242760380877,36377604.0,255644592.0,223818930.0,60051880.0,163767050.0,39481479.0,123971150.0,20570400.0,255644592.0,30478313.0,35045631.0,46190616.0,4567318.0,60051879.0
TEZOL,2023/3,2023-05-10 22:06:14,0.04403677954138575,0.029563230123197195,0.048507290624957906,0.4895794189389887,3.039859466928273,1.8070905393174208,-0.47146513848849125,3316746.0,68376237.0,112191597.0,36873964.0,75317633.0,24559059.0,74656088.0,12314904.0,68376237.0,944580.0,2125262.0,6137883.0,1180682.0,36873963.0
TEZOL,2023/6,2023-08-21 20:54:40,0.17999912688086014,0.11137053333970334,0.09136981721419112,0.6162185946602703,2.5263690735088105,1.3717482548901327,-0.2295727574985178,11730301.0,128382669.0,105326792.0,40158137.0,65168655.0,29277062.0,73964664.0,10881075.0,128382669.0,17092695.0,19551890.0,26728083.0,2459195.0,40158137.0
TEZOL,2023/9,2023-11-08 23:00:49,0.2705854614746464,0.18665014656988574,0.11660106107332342,0.4496932707916922,3.0299254193512266,0.6813598104450427,-0.2200900926897422,18757100.0,160865603.0,100493358.0,31172930.0,69320428.0,21790505.0,66023605.0,9382425.0,160865603.0,26106469.0,29343736.0,38959993.0,3237267.0,31172930.0
TEZOL,2023/12,2024-05-09 20:46:39,0.008403062921698953,0.006303733245652145,0.00580696686352999,0.3330295864747723,2.6826981547886266,-0.13544561114752626,-0.9647187318878946,1283448.0,221018654.0,203601255.0,50865519.0,152735736.0,35836328.0,96138051.0,15029191.0,221018654.0,27167077.0,32140755.0,45309847.0,4973678.0,50865519.0
TEZOL,2024/3,2024-05-09 20:46:39,0.010517726020233577,0.007336944771964007,0.028113773878232315,0.43352939774386695,3.0532162004453673,-0.3880235175855027,-0.6453117000819478,1176411.0,41844649.0,160340719.0,48490401.0,111850318.0,27748768.0,84722988.0,20741633.0,41844649.0,4509661.0,5938356.0,7330876.0,1428695.0,48490401.0
TEZOL,2024/6,2024-09-06 20:38:14,0.02838002493628365,0.02102512886014286,0.03968420969530817,0.34981454577583243,2.419701510504916,-0.327101806864601,-0.7077433903869986,3428258.0,86388466.0,163055267.0,42256994.0,120798273.0,33227300.0,80400148.0,9029693.0,86388466.0,8937911.0,11984057.0,15024668.0,3046146.0,42256993.0
TEZOL,2024/9,2024-11-11 21:53:46,0.07099623138290923,0.05376965659469413,0.06483253828075544,0.3203772438421075,2.7215050175981186,-0.09860526243139747,-0.4988063719871409,9400939.0,145003408.0,174837252.0,42422632.0,132414620.0,31087982.0,84606099.0,11334649.0,145003408.0,22267875.0,26895322.0,31727447.0,4627447.0,42422631.0
TEZOL,2024/12,2025-03-11 04:13:28,0.03191261836472224,0.02487024451636007,0.02690292427489617,0.2831646405297536,2.945605385316269,-0.1303539926543938,3.0289571529193235,5170957.0,192207990.0,207917417.0,45882546.0,162034871.0,33105428.0,97515527.0,12777118.0,192207990.0,13250039.0,19736896.0,28400891.0,6486857.0,45882546.0
TEZOL,2025/3,2025-05-09 20:15:09,-0.012983972696705346,-0.010422783883600725,-0.049025246974413114,0.24572982052658804,3.611002581448515,-0.17432121368732237,-2.439831827482062,-1693834.0,34550239.0,162512628.0,32056870.0,130455758.0,20318050.0,73368531.0,11738820.0,34550239.0,2787893.0,4300235.0,5480739.0,1512342.0,32056870.0
TEZOL,2025/6,2025-08-18 22:34:38,0.02138160659648672,0.01668270653216468,0.04053847349729545,0.2816629263063077,3.1225248687557903,-0.17701442921790045,-0.15929839586168837,2882142.0,71096461.0,172762255.0,37966865.0,134795390.0,27108815.0,84647949.0,10858049.0,71096461.0,5058329.0,7994537.0,10727163.0,2936208.0,37966864.0
TEZOL,2025/9,2025-11-10 18:52:42,0.037917109084124684,0.03135638379087128,0.049307690503135986,0.20923092844537167,4.088308016918854,-0.2541895498069949,-0.43278187423618003,5332383.0,108145057.0,170057333.0,29424697.0,140632636.0,20474200.0,83704836.0,8950497.0,108145057.0,7037496.0,11541137.0,15864978.0,4503641.0,29424697.0
