FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,87757608,90110673,80174478,153922704,93372902,73165713,96440767,135516305,92712522,92574092,92488973,27270183,80569647,TSPOR
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,1614710,208153,384557,1253766,1550996,843462,596804,605635,2402677,576676,473433,557062,5219052,TSPOR
1AB,Finansal Yatırımlar,Short-Term Financial Investments,1537,15476,13924,91492,0,0,0,0,0,0,0,0,0,TSPOR
1AC,Ticari Alacaklar,Short-Term Trade Receivables,49875440,11280715,10270365,18048261,8171776,5051087,5095188,7537304,9379646,6297736,6121481,9532374,24373838,TSPOR
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1AE,Diğer Alacaklar,Short-Term Other Receivables,25388222,69532652,62727072,119654745,70110091,56905350,83150571,113422240,70596160,75119412,77278677,7210880,40782364,TSPOR
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,4212073,2606003,2563076,2465809,2517531,0,TSPOR
1AF,Stoklar,Inventories,6314561,6384776,4957309,10999993,7174963,5389651,4476466,6796800,6831004,6809353,5711700,6532554,7748010,TSPOR
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1AH,Diğer Dönen Varlıklar,Other Current Assets,4563137,2688900,1821250,3874447,6365076,4976163,3121738,2942254,897032,1207839,437872,919782,2446382,TSPOR
1AI,(Ara Toplam),(Subtotal),87757608,90110673,80174478,153922704,93372902,73165713,96440767,135516305,92712522,92574092,92488973,27270183,80569647,TSPOR
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1AK,Duran Varlıklar,LONG TERM ASSETS,87430308,54941879,49865602,151968394,70868017,57811392,52769419,136737696,232677188,254904979,257176249,488871129,484894942,TSPOR
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BB,Diğer Alacaklar,Other Receivables,5346732,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BC,Finansal Yatırımlar,Financial Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,954752,838755,754632,2788291,1551507,1150772,1085466,1657479,1116140,1097755,1056096,1573346,1469802,TSPOR
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BFAA,Kullanım Hakkı Varlıkları,None,7367896,4264493,3726288,30510413,0,0,0,20837430,15086397,28186162,21503063,31684730,27927220,TSPOR
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,18192030,16079394,14432596,53069140,28232393,20827341,19523393,55933999,37637916,37110965,35923403,60250882,58609974,TSPOR
1BGA,Şerefiye,Goodwill,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,54220040,32486560,29771805,62746451,41084117,35811797,32138430,56822577,177814434,187878614,198320479,394624840,396711576,TSPOR
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,1348857,1272677,1180282,2854099,0,21482,22130,1486211,1022301,631484,373207,737330,176370,TSPOR
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,175187916,145052552,130040080,305891098,164240919,130977105,149210186,272254002,325389711,347479071,349665222,516141313,565464589,TSPOR
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,104832463,98958044,95985877,186541760,138419828,112643944,95594412,174212611,260155070,121732350,124166042,281550072,158890158,TSPOR
2AA,Finansal Borçlar,Short-Term Financial Loans,12139447,14381596,8983366,21241508,12107006,4701251,2331856,6278296,86088371,378166,541061,1336681,651673,TSPOR
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,22625,6251,10505,10136,8573,6222,4307,357,3207,0,TSPOR
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,46567615,39578220,45868517,59438951,41762718,36706055,17951713,27772008,27977420,26315009,22587077,37887657,33299026,TSPOR
2AAGAB,Diğer Borçlar,Other Short-Term Loans,13104696,17158237,23659921,62515385,31925354,25274565,16430133,18036329,38111310,10852666,17171003,182136594,61485314,TSPOR
2AAGAC,Müşteri Söz. Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,12151771,8228920,6572306,13183587,37447770,30361644,19782346,67446418,60169236,34198173,28133542,16047974,23869171,TSPOR
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),560365,12277,75735,0,0,450084,424542,0,0,0,0,0,1068757,TSPOR
2AAGE,Borç Karşılıkları,Short-Term Provisions,413779,231560,231438,333402,702372,334907,533827,800819,294652,450177,677599,1210265,1513554,TSPOR
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,19894791,19367234,10594595,29806302,14468357,14804934,38129859,53870168,47507858,49533850,55055402,42927693,37002664,TSPOR
2AAGG,(Ara Toplam),(Subtotal),104832463,98958044,95985877,186541760,138419828,112643944,95594412,174212611,260155070,121732350,124166042,281550072,158890158,TSPOR
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,106807073,80973769,76635342,172296721,104412752,72660343,65028873,77416943,60074827,64510203,80509510,88335931,110820099,TSPOR
2BA,Finansal Borçlar,Long-Term Financial Loans,77954035,58007811,57078830,102900630,60820828,41403409,34973405,39706691,26524481,1820256,2004709,1198440,1060537,TSPOR
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BBA,Ticari Borçlar,Long-Term Trade Payables,14299843,10619438,7767917,13534529,9670304,7646700,7795653,3817580,10287430,12642439,16936976,5866526,26406457,TSPOR
2BBB,Diğer Borçlar,Other Long-Term Loans,7614227,5910927,5200941,36405293,22197199,15969572,14597006,17793731,11585403,11005668,10213873,10046129,8464930,TSPOR
2BBBA,Müşteri Söz.Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,5100326,4587954,4881660,14257420,8293008,6347461,6032371,12108804,8980045,36571938,48736380,62766126,61582333,TSPOR
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,312645,541304,544114,489973,224886,113049,527724,616310,320028,336740,828925,1150929,845988,TSPOR
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,1525997,1306334,1161882,4708876,3206527,1180151,1102713,3373827,2377439,2133163,1788646,3989514,6874012,TSPOR
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0,0,0,0,0,0,0,0,0,0,0,3318266,5585842,TSPOR
2N,Özkaynaklar,SHAREHOLDERS EQUITY,-36451620,-34879260,-42581139,-52947383,-78591661,-54327182,-11413098,20624448,5159813,161236517,144989670,146255310,295754331,TSPOR
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,-36451620,-34879260,-42581139,-52947383,-78591661,-54327182,-11413098,20624448,5159813,161236517,144989670,146255310,295754331,TSPOR
2OA,Ödenmiş Sermaye,Share Capital,34098271,29955546,26951127,26692291,26058224,38655410,91154379,84770763,77295044,228065427,219410517,212201291,198235964,TSPOR
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,115822,101750,91545,403036,88512,223694,561041,1076505,779394,850680,888163,971565,1113504,TSPOR
2OCB,Değer Artış Fonları,Market Value Surpluses,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,901110,791631,712234,5193326,688637,510770,481785,4466534,3233791,3444847,3596635,3934378,3675450,TSPOR
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),-96114845,-68342602,-61488118,-222093617,-99411991,-73814283,-69625391,-221453754,-185064691,-197500765,-205829666,-225158123,-77322298,TSPOR
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),17974716,-2847632,-13789646,-35394964,-23414473,-33004170,-46144450,-34158813,-9942076,-14518274,-38503614,-46179415,-17671336,TSPOR
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,6573306,5462046,4941719,172252544,17399429,13101395,12159538,185923213,118858350,140894601,165427635,188674141,187723047,TSPOR
2ODA,Azınlık Payları,Minority Interests,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,175187916,145052552,130040080,305891098,164240919,130977105,149210186,272254002,325389711,347479071,349665222,516141313,565464589,TSPOR
3B,Sürdürülen Faaliyetler,Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3C,Satış Gelirleri,Net Sales,29708666,43265332,55120367,129780806,28401623,54934968,82810417,100560170,26650267,35720168,51767605,76182968,25513651,TSPOR
3CA,Satışların Maliyeti (-),Cost Of Sales,-27181274,-61033035,-78541772,-210777922,-47290131,-101010058,-149628649,-160693118,-36063676,-55611377,-85994328,-139319818,-32332413,TSPOR
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,2527392,-17767703,-23421405,-80997116,-18888508,-46075089,-66818232,-60132949,-9413409,-19891209,-34226723,-63136850,-6818762,TSPOR
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),2527392,-17767703,-23421405,-80997116,-18888508,-46075089,-66818232,-60132949,-9413409,-19891209,-34226723,-63136850,-6818762,TSPOR
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-861455,-1204979,-1698528,-3704908,-1938582,-2493924,-3610305,-3945532,-765920,-1840402,-3508936,-3973343,-1343165,TSPOR
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-1032331,-2469565,-3715391,-7914137,-1537782,-3908160,-6186336,-9294686,-2701041,-5865135,-8258528,-14178107,-3806128,TSPOR
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,2951400,7145235,11031536,27123054,16200525,26382347,30351759,34476018,4009629,6760200,9841547,12141601,2958275,TSPOR
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-3395923,-10285384,-13950744,-43857332,-39233091,-49580218,-66218958,-73207188,-6660953,-9093559,-14603512,-48625294,-16587321,TSPOR
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,189084,-24582397,-31754532,-109350437,-45397438,-75675043,-112482071,-112104336,-15531693,-29930104,-50756152,-117771993,-25597101,TSPOR
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,633607,-21442247,-28835324,-92616160,-22364872,-52477173,-76614873,-73373166,-12880369,-27596746,-45994187,-81288301,-11968055,TSPOR
3HA,Yatırım Faaliyetlerinden Gelirler,None,25481788,24771630,23298910,45161254,1437891,5288814,12517756,12567145,2029180,1587469,7425919,1569139,6648938,TSPOR
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,-4319019,-4913174,-6685950,-4694895,-3437340,-4923806,-5933386,-5804461,-3105186,-2532783,-4459420,-8004688,-65032,TSPOR
3HAB,Diğer Gelir ve Giderler,None,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,21351853,-4723940,-15141573,-68884078,-47396888,-75310035,-105897701,-105341652,-16607699,-30875418,-47789652,-124207542,-19013194,TSPOR
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),8663,10834163,10043115,29800817,4299360,12493795,14091426,24864855,12769129,15831686,20614909,22707051,82936,TSPOR
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-1938288,-8608542,-10069718,461193,38433845,48074490,62626375,31264727,-9533101,-542241,-13877274,50884602,4896025,TSPOR
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,21162769,19858456,16612959,40466359,-1999450,365008,6584370,6762684,-1076006,-945314,2966500,-6435549,6583907,TSPOR
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,19422227,-2498320,-15168176,-38622068,-4663683,-14741750,-29179901,-49212070,-13371670,-15585973,-41052017,-50615889,-14034234,TSPOR
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-558840,-694551,-908291,-1282719,-936839,535162,489292,6935539,-436861,487661,279098,965867,-4406234,TSPOR
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-588069,-708605,-927835,-1229492,0,-864951,-729331,-833051,-527454,0,0,-243659,-1115274,TSPOR
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,29229,14054,19544,-53227,-936839,1400112,1218622,7768590,90593,487661,279098,1209526,-3290960,TSPOR
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,18863388,-3192871,-16076467,-39904787,-5600521,-14206589,-28690609,-42276531,-13808531,-15098313,-40772918,-49650022,-18440468,TSPOR
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0,0,0,0,0,0,0,0,0,0,0,,0,TSPOR
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,18863388,-3192871,-16076467,-39904787,-5600521,-14206589,-28690609,-42276531,-13808531,-15098313,-40772918,-49650022,-18440468,TSPOR
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0,0,0,0,0,0,0,0,0,0,0,,0,TSPOR
3LB,Azınlık Payları,Minority Interests,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3Z,Ana Ortaklık Payları,Parent Shares,18863388,-3192871,-16076467,-39904787,-5600521,-14206589,-28690609,-42276531,-13808531,-15098313,-40772918,-49650022,-18440468,TSPOR
3ZD,Hisse Başına Kazanç,Earnings per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
4B,Amortisman Giderleri,Depreciation & Amortization,4330054,8119010,8246554,29366435,8431508,19086525,28506159,23885909,9541573,15096070,22885854,272365,8061284,TSPOR
4BA,Kıdem Tazminatı,Severance Payments,0,102940,91402,65618,145732,0,0,113216,74255,53295,0,318648,268999,TSPOR
4BB,Finansman Giderleri,Financial Expenses,-1938288,-8608542,-10069718,461193,38433845,48074490,62626375,31264727,-9533101,-542241,-13877274,50884602,4896025,TSPOR
4BC,Yurtiçi Satışlar,Domestic Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
4BD,Yurtdışı Satışlar,Export Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,-43862475,-53685992,-38550920,-45140372,-54441906,-52933451,-43329345,-45715435,-101819868,-222355196,-54387545,-74633652,-90564696,TSPOR
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,-43862475,-53685992,-38550920,-45160223,-58687905,-52933451,-43329345,-43259476,-101462177,-222663369,-54388854,-74633652,-90564696,TSPOR
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),-43862475,-53685992,-38550920,-45140372,-54441906,-52933451,-43329345,-45715435,-101819868,-222355195,-54387545,-74633652,-90564696,TSPOR
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,4674559,11830638,36876967,-91249937,41239432,67752948,18135776,6280329,-83635144,47618675,61078639,223929184,-142132468,TSPOR
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,18863388,-3192871,-16076467,-39904787,-5600521,-14206589,-28690609,-42276531,-13808531,-15098313,-40772918,-49650022,-18440468,TSPOR
4CAA,Düzeltmeler:,Adjustments:,-14027429,-13345461,8915130,53666619,5119451,29443948,70556483,49144640,7795196,17044123,43804907,-20446452,-6782112,TSPOR
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,4330054,8119010,8246554,-29366435,8431508,19086525,28506159,-23885909,9541573,15096070,22885854,-272365,8061284,TSPOR
4CAC,Karşılıklardaki Değişim,Change in Provisions,284620,15824,173117,252672,553453,-1379259,12730083,-877469,-564649,-348062,611376,1196547,604025,TSPOR
4CAD,Diğer Gelir/ Gider,Other Income / Expense,-18642102,-21480295,495459,-48467509,-722999,14079500,0,-14793379,-1417414,-5774530,308896,-13415894,1758147,TSPOR
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),4835959,-16538332,-7161337,13761832,-481071,15237359,41865874,6868109,-6013335,1945811,3031989,-70096474,-25222580,TSPOR
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,605240,28368970,44022070,-105011769,41647394,54244259,-21122060,-587781,-77621809,46133529,57224026,292192910,-116909888,TSPOR
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),5441199,11830638,36860733,-91249937,41166323,69481618,20743814,6280329,-83635144,48079340,60256014,222096436,-142132468,TSPOR
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,-766639,0,16233,0,73109,-1728669,-2608038,0,0,-460665,822625,1832748,0,TSPOR
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),427948,-4536872,-27736724,46584420,-20763447,-45019977,-41246240,39243200,-23803513,-171047107,-179495316,-367388654,-35076830,TSPOR
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,0,0,0,26089,97526,100792,0,-97388,0,0,0,0,0,TSPOR
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,427948,-4536872,-27736724,46610508,-20665921,-44919184,-41148672,39145812,-23803513,-171047107,-179495316,-367388654,-35076830,TSPOR
4CB,Serbest Nakit Akım,Free Cash Flow,5102508,7293766,9140243,-44639429,20573512,22833764,-23012896,45426141,-107438657,-123428432,-118416677,-143459470,-177209298,TSPOR
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,-3014825,-8504050,46094,60877462,-19772664,-48159224,-68298189,75228845,110166723,-34596965,-36515570,-41814248,-588299,TSPOR
4CBB,Temettü Ödemeleri,Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
4CBC,Sermaye Artırımı,Rights Issue,0,0,0,0,-2,25565178,90999327,0,0,158139351,154917245,23972875,184040049,TSPOR
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,-1929625,0,-10072316,-17992236,0,0,0,-121239984,0,0,0,161476175,-1247601,TSPOR
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,-4944450,-8504050,-10026222,42885225,-19772666,-22594046,22701138,-46011138,110166723,123542386,118401676,143634802,182204148,TSPOR
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,158058,-1210283,-885979,-1754203,800846,239718,-311758,-584998,2728066,113954,-15001,175332,4994850,TSPOR
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,0,0,0,0,256510,0,0,0,0,0,-88,0,0,TSPOR
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,158058,-1210283,-885979,-1754203,1057356,239718,-311758,-584998,2728066,113954,-15089,175332,4994850,TSPOR
4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,1538098,1443673,1350543,3167716,1336455,1381210,1337022,1334560,609007,485762,516425,573571,543051,TSPOR
4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,1696155,233389,464563,1413513,2393810,1620927,1025264,749562,3337074,599716,501336,598928,5446208,TSPOR
