symbol,date,score,rank,percentile,bucket,signal
THYAO,2025-11-17,0.0003545523410305171,1,1.0,9,BUY
ASELS,2025-11-17,0.00034908810673978737,2,0.990990990990991,9,BUY
TRGYO,2025-11-17,0.0002621205123824879,3,0.9819819819819819,9,BUY
ENKAI,2025-11-17,0.0002563402706346117,4,0.972972972972973,9,BUY
SAHOL,2025-11-17,0.00024173397922439322,5,0.963963963963964,9,BUY
ORGE,2025-11-17,0.00023540661971929494,6,0.954954954954955,9,BUY
EREGL,2025-11-17,0.00023497755833885254,7,0.9459459459459459,9,BUY
CEMTS,2025-11-17,0.00022668242859108685,8,0.9369369369369369,9,BUY
TCELL,2025-11-17,0.00022103389809414154,9,0.9279279279279279,9,BUY
EKGYO,2025-11-17,0.00021760833364593455,10,0.918918918918919,9,BUY
ISDMR,2025-11-17,0.00021533191547880282,11,0.9099099099099099,9,BUY
KORDS,2025-11-17,0.0002072225338124873,12,0.9009009009009009,9,BUY
TUPRS,2025-11-17,0.0002062265076633279,13,0.8918918918918919,8,BUY
HUNER,2025-11-17,0.00020618459074129102,14,0.8828828828828829,8,BUY
KOZAL,2025-11-17,0.00020450432466689988,15,0.8738738738738738,8,BUY
BIOEN,2025-11-17,0.00020250719341857485,16,0.8648648648648649,8,HOLD
SMRTG,2025-11-17,0.00020066697685086252,17,0.8558558558558559,8,HOLD
KARTN,2025-11-17,0.00020058442287818713,18,0.8468468468468469,8,HOLD
FROTO,2025-11-17,0.00019993526827760043,19,0.8378378378378378,8,HOLD
NTHOL,2025-11-17,0.000197919110747201,20,0.8288288288288288,8,HOLD
SNGYO,2025-11-17,0.0001969053991607246,21,0.8198198198198198,8,HOLD
PETUN,2025-11-17,0.00018931798942904623,22,0.8108108108108109,8,HOLD
GSDDE,2025-11-17,0.00018394871467067046,23,0.8018018018018018,8,HOLD
KRDMB,2025-11-17,0.0001831230745409911,24,0.7927927927927928,7,HOLD
GOODY,2025-11-17,0.00018279897667988198,25,0.7837837837837838,7,HOLD
PENTA,2025-11-17,0.00018004960315098664,26,0.7747747747747747,7,HOLD
INDES,2025-11-17,0.00017653687782146036,27,0.7657657657657657,7,HOLD
TOASO,2025-11-17,0.0001760865456385343,28,0.7567567567567568,7,HOLD
JANTS,2025-11-17,0.00017310017326530578,29,0.7477477477477478,7,HOLD
SDTTR,2025-11-17,0.0001699623310746193,30,0.7387387387387387,7,HOLD
KCHOL,2025-11-17,0.0001698766541171906,31,0.7297297297297297,7,HOLD
KMPUR,2025-11-17,0.0001688659397318688,32,0.7207207207207207,7,HOLD
BIZIM,2025-11-17,0.0001687629950783615,33,0.7117117117117117,7,HOLD
CIMSA,2025-11-17,0.000165088972281284,34,0.7027027027027027,7,HOLD
VBTYZ,2025-11-17,0.00016497708821646976,35,0.6936936936936937,6,HOLD
TLMAN,2025-11-17,0.0001618331197357942,36,0.6846846846846847,6,HOLD
TEZOL,2025-11-17,0.0001610657282717129,37,0.6756756756756757,6,HOLD
DOHOL,2025-11-17,0.00016017207637887136,38,0.6666666666666666,6,HOLD
SISE,2025-11-17,0.0001590184711984914,39,0.6576576576576577,6,HOLD
PGSUS,2025-11-17,0.00015855656114168666,40,0.6486486486486487,6,HOLD
KRDMA,2025-11-17,0.00015838339858755454,41,0.6396396396396397,6,HOLD
VESBE,2025-11-17,0.00015447026826366953,42,0.6306306306306306,6,HOLD
ASTOR,2025-11-17,0.0001543615087664946,43,0.6216216216216216,6,HOLD
AKFGY,2025-11-17,0.00015400818172052135,44,0.6126126126126126,6,HOLD
BIMAS,2025-11-17,0.0001538479971968001,45,0.6036036036036037,6,HOLD
ALKA,2025-11-17,0.00015176905903685595,46,0.5945945945945946,5,HOLD
KOZAA,2025-11-17,0.00015042074646178595,47,0.5855855855855856,5,HOLD
TKFEN,2025-11-17,0.00015011485361423257,48,0.5765765765765766,5,HOLD
OZKGY,2025-11-17,0.00015002321585179292,49,0.5675675675675675,5,HOLD
PAPIL,2025-11-17,0.00014984078320565424,50,0.5585585585585585,5,HOLD
BUCIM,2025-11-17,0.00014771993083641835,51,0.5495495495495496,5,HOLD
VESTL,2025-11-17,0.00014735942031173814,52,0.5405405405405406,5,HOLD
AKCNS,2025-11-17,0.0001473495222510727,53,0.5315315315315315,5,HOLD
BRISA,2025-11-17,0.0001469694450011489,54,0.5225225225225225,5,HOLD
ALARK,2025-11-17,0.00014621383793482284,55,0.5135135135135135,5,HOLD
OTKAR,2025-11-17,0.00014426798137689647,56,0.5045045045045045,5,HOLD
ISGYO,2025-11-17,0.00014302024913312225,57,0.4954954954954955,4,HOLD
SARKY,2025-11-17,0.00014254784477748785,58,0.4864864864864865,4,HOLD
CCOLA,2025-11-17,0.0001419864175489443,59,0.4774774774774775,4,HOLD
GWIND,2025-11-17,0.00014172262832495657,60,0.46846846846846846,4,HOLD
AYDEM,2025-11-17,0.000139959907763214,61,0.4594594594594595,4,HOLD
TMSN,2025-11-17,0.0001398859286408701,62,0.45045045045045046,4,HOLD
KRDMD,2025-11-17,0.00013759651290750298,63,0.44144144144144143,4,HOLD
NUHCM,2025-11-17,0.0001367354573488218,64,0.43243243243243246,4,HOLD
TAVHL,2025-11-17,0.0001364422706758933,65,0.42342342342342343,4,HOLD
KIMMR,2025-11-17,0.00013502734868869765,66,0.4144144144144144,4,HOLD
AEFES,2025-11-17,0.0001346262891186217,67,0.40540540540540543,4,HOLD
GSDHO,2025-11-17,0.0001338971013862006,68,0.3963963963963964,3,HOLD
KFEIN,2025-11-17,0.0001316571709746703,69,0.38738738738738737,3,HOLD
ARCLK,2025-11-17,0.00013149303750768567,70,0.3783783783783784,3,HOLD
AKSEN,2025-11-17,0.00012970849230598054,71,0.36936936936936937,3,HOLD
BMSCH,2025-11-17,0.00012963426947048908,72,0.36036036036036034,3,HOLD
TTRAK,2025-11-17,0.00012849086725721638,73,0.35135135135135137,3,HOLD
DOAS,2025-11-17,0.0001256843903192045,74,0.34234234234234234,3,HOLD
ULKER,2025-11-17,0.00012410215053158813,75,0.3333333333333333,3,HOLD
SOKM,2025-11-17,0.00012279379926849915,76,0.32432432432432434,3,HOLD
IPEKE,2025-11-17,0.00012048964592638035,77,0.3153153153153153,3,HOLD
SMART,2025-11-17,0.00012036483951152548,78,0.3063063063063063,3,HOLD
MAVI,2025-11-17,0.00011928677171856012,79,0.2972972972972973,2,HOLD
KARSN,2025-11-17,0.00011861023539624832,80,0.2882882882882883,2,HOLD
TTKOM,2025-11-17,0.00011723726424404475,81,0.27927927927927926,2,HOLD
LOGO,2025-11-17,0.0001165090501155613,82,0.2702702702702703,2,HOLD
OYAKC,2025-11-17,0.0001162794297716274,83,0.26126126126126126,2,HOLD
PARSN,2025-11-17,0.00011616957345702203,84,0.25225225225225223,2,HOLD
TATGD,2025-11-17,0.00011207919849015274,85,0.24324324324324326,2,HOLD
ZOREN,2025-11-17,0.0001118076780765766,86,0.23423423423423423,2,HOLD
BERA,2025-11-17,0.00011127212362860474,87,0.22522522522522523,2,HOLD
AGHOL,2025-11-17,0.000111064448300689,88,0.21621621621621623,2,HOLD
PRKME,2025-11-17,0.0001108316628544488,89,0.2072072072072072,2,HOLD
MGROS,2025-11-17,0.0001073704747354944,90,0.1981981981981982,1,HOLD
TUKAS,2025-11-17,0.00010686573668589255,91,0.1891891891891892,1,HOLD
QUAGR,2025-11-17,0.00010362994137803479,92,0.18018018018018017,1,HOLD
BAGFS,2025-11-17,0.00010315986638229862,93,0.17117117117117117,1,HOLD
MIATK,2025-11-17,0.00010301048876713288,94,0.16216216216216217,1,HOLD
MAGEN,2025-11-17,0.00010266731394090037,95,0.15315315315315314,1,HOLD
GUBRF,2025-11-17,9.989533286957463e-05,96,0.14414414414414414,1,HOLD
FONET,2025-11-17,9.568123787992079e-05,97,0.13513513513513514,1,SELL
KUTPO,2025-11-17,9.529211620570171e-05,98,0.12612612612612611,1,SELL
ARDYZ,2025-11-17,9.459834888008475e-05,99,0.11711711711711711,1,SELL
AKENR,2025-11-17,9.35855843282166e-05,100,0.10810810810810811,1,SELL
CLEBI,2025-11-17,9.140002757084052e-05,101,0.0990990990990991,0,SELL
PETKM,2025-11-17,9.087539922296941e-05,102,0.09009009009009009,0,SELL
ODAS,2025-11-17,8.862526241886595e-05,103,0.08108108108108109,0,SELL
TEKTU,2025-11-17,8.616305468457524e-05,104,0.07207207207207207,0,SELL
ALFAS,2025-11-17,8.299223370720023e-05,105,0.06306306306306306,0,SELL
TUREX,2025-11-17,8.030968293974978e-05,106,0.05405405405405406,0,SELL
HLGYO,2025-11-17,8.000623636451172e-05,107,0.04504504504504504,0,SELL
CANTE,2025-11-17,7.767662486328906e-05,108,0.036036036036036036,0,SELL
EUPWR,2025-11-17,7.637656169021604e-05,109,0.02702702702702703,0,SELL
SASA,2025-11-17,7.631006305677952e-05,110,0.018018018018018018,0,SELL
HEKTS,2025-11-17,5.365966001868666e-05,111,0.009009009009009009,0,SELL
